experiment_name,version,attack,0,0,mean_score,mean_score
,,,mean,std,mean,std
Experiment C,Prior Solution Mentioned Not Removed,caesar_cipher,3.592592592592593,0.12830005981991663,3.592592592592593,0.12830005981991663
Experiment C,Prior Solution Mentioned Not Removed,change_character_names,2.8518518518518516,0.1697250257391054,2.8518518518518516,0.1697250257391054
Experiment C,Prior Solution Mentioned Not Removed,context_removal,3.4814814814814814,0.16972502573910486,3.4814814814814814,0.16972502573910486
Experiment C,Prior Solution Mentioned Not Removed,control,3.2000000000000006,0.0,3.2000000000000006,0.0
Experiment C,Prior Solution Mentioned Not Removed,distraction_insertion,2.7407407407407405,0.06415002990995826,2.7407407407407405,0.06415002990995826
Experiment C,Prior Solution Mentioned Not Removed,introduce_typos,3.0,0.0,3.0,0.0
Experiment C,Prior Solution Mentioned Not Removed,shuffle_sentences,3.1481481481481484,0.06415002990995841,3.1481481481481484,0.06415002990995841
Experiment C,Prior Solution Mentioned Not Removed,swap_words,3.111111111111111,0.11111111111111116,3.111111111111111,0.11111111111111116
Experiment C,Prior Solution Mentioned Not Removed,synonym_replacement,3.185185185185185,0.12830005981991696,3.185185185185185,0.12830005981991696
Experiment C,Prior Solution Mentioned Not Removed,word_swap_embedding,2.888888888888889,0.0,2.888888888888889,0.0
Experiment C,Prior Solution Mentioned Not Removed,word_swap_homoglyph,3.0,0.0,3.0,0.0
Experiment C,Prior Solution Mentioned and Removed,antonym_replacement,2.814814814814815,0.2796234976026204,2.814814814814815,0.2796234976026204
Experiment C,Prior Solution Mentioned and Removed,caesar_cipher,3.2592592592592595,0.06415002990995845,3.2592592592592595,0.06415002990995845
Experiment C,Prior Solution Mentioned and Removed,change_character_names,2.6435185185185186,0.32165099430892125,2.6435185185185186,0.32165099430892125
Experiment C,Prior Solution Mentioned and Removed,context_removal,3.111111111111111,0.0,3.111111111111111,0.0
Experiment C,Prior Solution Mentioned and Removed,control,2.533333333333333,0.20816659994661363,2.533333333333333,0.20816659994661363
Experiment C,Prior Solution Mentioned and Removed,distraction_insertion,3.111111111111111,0.0,3.111111111111111,0.0
Experiment C,Prior Solution Mentioned and Removed,introduce_typos,2.814814814814815,0.06415002990995838,2.814814814814815,0.06415002990995838
Experiment C,Prior Solution Mentioned and Removed,shuffle_sentences,3.7407407407407405,0.23129622216290371,3.7407407407407405,0.23129622216290371
Experiment C,Prior Solution Mentioned and Removed,swap_words,3.1481481481481484,0.12830005981991696,3.1481481481481484,0.12830005981991696
Experiment C,Prior Solution Mentioned and Removed,synonym_replacement,3.0,0.1924500897298752,3.0,0.1924500897298752
Experiment C,Prior Solution Mentioned and Removed,word_swap_embedding,2.7777777777777772,0.0,2.7777777777777772,0.0
Experiment C,Prior Solution Mentioned and Removed,word_swap_homoglyph,3.0,0.0,3.0,0.0
